,品牌,生产,型号,里程,日期,地区,会员,原价,现价,过户情况
0,宝马7系,2013款,730Li,13.1万公里,2014-03,温州,4年黄金会员,20.8,101.33,0次过户
1,宝马7系,2013款,730Li,13万公里,2013-06,温州,2年黄金会员,19.8,101.33万,无
2,宝马7系,2021款,740Li,2.6万公里,2021-04,台州,2年黄金会员,71.8,101.82万,准新车-0次过户
3,宝马5系,2021款,530Li,1.5万公里,2021-11,宁波,4年会员,67.8,101.82万,无
4,宝马7系,2019款,740Li,5.3万公里,2020-04,杭州,4年会员,67.8,101.82万,无
5,宝马7系,2008款,730Li经典版,15.5万公里,2008-04,宁波,4年黄金会员,5.0,102.69万,新上架
6,宝马7系,2019款,730Li,3.2万公里,2020-08,宁波,4年黄金会员,5.0,102.69万,新上架
7,宝马X1,2021款,sDrive25Li,0.8万公里,2021-10,宁波,4年黄金会员,5.0,102.69万,新上架
8,宝马5系,2019款,525Li,4.5万公里,2019-04,宁波,4年黄金会员,5.0,102.69万,新上架
9,宝马6系,2013款,改款,10.8万公里,2015-01,湖州,5年黄金会员,30.98,103.34万,无
10,宝马6系,2013款,改款,6万公里,2014-08,绍兴,3年黄金会员,22.8,103.34万,无
11,宝马7系,2014款,730Li,8万公里,2015-03,温州,4年会员,28.8,103.77万,0次过户
12,宝马X5(进口),2014款,xDrive35i,9万公里,2014-11,宁波,1年黄金会员,27.88,103.99万,0次过户
13,宝马5系GT,2010款,535i,15万公里,2011-07,宁波,1年黄金会员,14.5,105.07万,无
14,宝马5系GT,2010款,535i,15万公里,2010-11,宁波,1年黄金会员,12.88,105.07万,0次过户
15,宝马M4,2019款,M4敞篷轿跑车竞速版,4.18万公里,2020-04,杭州,2年黄金会员,63.8,106.37万,0次过户-原厂质保
16,宝马5系GT,2011款,535i,14.2万公里,2011-06,湖州,1年黄金会员,12.5,106.59万,无
17,宝马5系GT,2011款,535i,10万公里,2012-04,温州,4年黄金会员,13.5,106.59万,0次过户
18,宝马X6,2015款,xDrive35i,7.9万公里,2015-09,宁波,1年黄金会员,32.98,108.33万,0次过户
19,宝马M4,2014款,M4双门轿跑车,8.31万公里,2016-03,绍兴,4年黄金会员,48.88,108.33万,无
20,宝马X5(进口),2011款,xDrive35i,20万公里,2012-11,台州,1年黄金会员,11.5,109.09万,0次过户
21,宝马7系,2009款,730Li豪华型,17万公里,2010-06,温州,4年黄金会员,10.58,110.50万,0次过户
22,宝马7系,2021款,740Li,1.4万公里,2021-01,台州,7年钻石会员,81.8,115.93万,原厂质保
23,宝马X5(进口),2020款,xDrive30i,6.1万公里,2020-04,衢州,4年会员,69.8,115.93万,无
24,宝马7系,2019款,改款,4.3万公里,2020-07,杭州,4年会员,69.8,115.93万,无
25,宝马8系,2021款,840i,0.17万公里,2021-09,杭州,3年黄金会员,91.98,116.36万,准新车-0次过户
26,宝马8系,2022款,840i,0.01万公里,未上牌,杭州,5年黑金会员,118.8,117.01万,准新车-4S店直卖
27,宝马8系,2021款,840i,0.15万公里,2021-09,绍兴,1年黄金会员,92.0,118.53万,准新车-4S店直卖
28,宝马8系,2021款,改款,0.12万公里,2021-12,杭州,5年黑金会员,93.88,118.53万,新上架-准新车
29,宝马M4,2014款,M4敞篷轿跑车,5.6万公里,2016-07,杭州,1年黄金会员,44.8,119.18万,无
30,宝马M4,2014款,M4敞篷轿跑车,11万公里,2015-01,金华,5年黄金会员,39.8,119.18万,0次过户
31,宝马8系,2019款,840i,0.4万公里,2021-01,杭州,2年黄金会员,81.5,119.18万,新上架-0次过户
32,宝马M4,2014款,M4敞篷轿跑车,8.9万公里,2018-02,杭州,2年黄金会员,47.3,119.18万,新上架
33,宝马X7,2021款,xDrive40i,0.3万公里,2021-06,绍兴,1年黄金会员,96.0,120.27万,准新车-4S店直卖
34,宝马X7,2021款,xDrive40i,2万公里,2021-03,杭州,3年会员,89.8,120.27万,准新车-0次过户
35,宝马6系,2012款,640i双门轿跑车,9万公里,2013-12,台州,7年钻石会员,20.98,122.44万,无
36,宝马7系,2016款,740Li,14万公里,2016-06,杭州,1年黄金会员,39.8,128.95万,无
37,宝马7系,2017款,740Li,8.5万公里,2017-06,杭州,4年黄金会员,40.98,128.95万,0次过户
38,宝马M4,2018款,M4敞篷轿跑车车迷限量版,2.7万公里,2019-03,杭州,1年黄金会员,65.8,130.14万,0次过户
39,宝马M4,2018款,M4敞篷轿跑车车迷限量版,5万公里,2018-03,杭州,1年黄金会员,55.8,130.14万,无
40,宝马M3,2009款,M3敞篷轿跑车,16万公里,2010-04,台州,1年黄金会员,15.2,130.26万,新上架
41,宝马M3,2009款,M3敞篷轿跑车,12万公里,2009-06,杭州,7年黄金会员,15.58,130.26万,无
42,宝马M3,2009款,M3敞篷轿跑车,9万公里,2011-09,宁波,2年黄金会员,22.9,130.26万,0次过户
43,宝马7系,2013款,740Li,16万公里,2013-02,台州,5年黄金会员,19.8,132.81万,无
44,宝马7系,2005款,740Li,20万公里,2006-01,杭州,4年会员,3.18,135.90万,新上架
45,宝马7系,2009款,740Li尊贵型,20万公里,2011-05,台州,6年黄金会员,11.98,153.05万,无
46,宝马5系新能源,2020款,530Le,1万公里,2021-10,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
47,宝马X5,M,2020款,0.9万公里,2021-07,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
48,宝马X5,M,2020款,0.9万公里,2021-08,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
49,宝马M5,2021款,M5,2.8万公里,2021-10,台州,6年黄金会员,116.8,156.19万,无
50,宝马X5(进口),2008款,xDrive48i豪华型,8.38万公里,2009-01,温州,4年黄金会员,8.38,188.44万,0次过户
51,宝马1系,2018款,118i,5.8万公里,2018-04,宁波,1年会员,9.58,21.69万,新上架-0次过户
52,宝马1系,2021款,120i,1.37万公里,2021-04,嘉兴,3年钻石会员,13.48,22.12万,准新车-原厂质保
53,宝马1系,2021款,120i,3.1万公里,2021-02,金华,2年黄金会员,12.5,22.12万,准新车-0次过户
54,宝马1系,2017款,118i,4万公里,2017-12,杭州,2年黄金会员,9.88,22.23万,0次过户
55,宝马1系,2017款,118i,6.6万公里,2017-04,杭州,1年会员,8.5,22.23万,0次过户
56,宝马1系,2019款,118i,7万公里,2019-09,丽水,1年会员,11.88,24.29万,0次过户
57,宝马1系,2019款,118i,4万公里,2019-03,嘉兴,2年黄金会员,11.28,24.29万,0次过户
58,宝马1系,2019款,118i,4万公里,2019-05,宁波,3年会员,10.0,24.29万,新上架-0次过户
59,宝马1系,2018款,118i,6万公里,2018-07,金华,1年会员,10.8,24.51万,0次过户
60,宝马1系,2018款,118i,4万公里,2018-05,绍兴,4年黄金会员,10.98,24.51万,0次过户
61,宝马1系,2018款,118i,7万公里,2018-03,嘉兴,6年会员,10.8,24.51万,0次过户
62,宝马1系,2018款,118i,7.3万公里,2018-06,温州,7年黄金会员,11.5,24.51万,新上架-0次过户
63,宝马1系,2021款,120i,0.7万公里,2021-08,杭州,6年黄金会员,14.39,24.62万,新上架-准新车
64,宝马1系,2021款,改款,1万公里,2022-01,绍兴,2年黄金会员,15.68,24.62万,准新车-0次过户
65,宝马1系,2021款,120i,2.6万公里,2021-01,宁波,1年会员,12.0,24.62万,新上架-0次过户
66,宝马1系,2021款,改款,0.6万公里,2021-11,丽水,2年黄金会员,14.88,24.62万,新上架-准新车
67,宝马1系,2017款,118i,7万公里,2017-06,金华,5年黄金会员,9.28,24.94万,无
68,宝马1系,2017款,118i,14.3万公里,2017-04,温州,5年黄金会员,7.88,24.94万,新上架-0次过户
69,宝马2系旅行车,2016款,218i,6.2万公里,2016-08,宁波,1年会员,7.9,25.49万,0次过户
70,宝马5系,2014款,525Li,9.2万公里,2014-08,宁波,1年会员,7.9,25.49万,0次过户
71,宝马7系,2019款,730Li,0.86万公里,2022-06,宁波,1年会员,7.9,25.49万,0次过户
72,宝马X5(进口),2017款,xDrive35i,6.56万公里,2017-12,宁波,1年会员,7.9,25.49万,0次过户
73,宝马1系,2020款,125i,3万公里,2020-02,温州,4年黄金会员,13.38,26.46万,无
74,宝马1系,2020款,125i,3.9万公里,2020-01,嘉兴,2年黄金会员,13.8,26.46万,无
75,宝马1系,2021款,125i,2.2万公里,2021-01,杭州,4年黄金会员,15.28,26.79万,0次过户-原厂质保
76,宝马1系,2022款,125i,0.06万公里,未上牌,湖州,1年黄金会员,18.98,26.79万,准新车-4S店直卖
77,宝马1系,2022款,125i,0.28万公里,2021-12,丽水,3年黄金会员,16.98,26.79万,准新车-0次过户
78,宝马M6,2013款,M6,6.2万公里,2015-03,杭州,6年黄金会员,69.5,260.40万,0次过户
79,宝马7系,2019款,改款,0.07万公里,2021-09,杭州,3年黄金会员,198.8,263.55万,准新车-0次过户
80,宝马7系,2019款,改款,3.6万公里,2021-04,杭州,7年钻石会员,173.8,263.55万,准新车-0次过户
81,宝马7系,2019款,M760Li,0.15万公里,2021-11,嘉兴,3年钻石会员,198.88,263.55万,准新车-0次过户
82,宝马2系,2018款,220i,5万公里,2018-08,杭州,2年黄金会员,15.5,27.12万,无
83,宝马2系,2018款,220i,8.4万公里,2018-04,杭州,6年钻石会员,14.8,27.12万,新上架-4S店直卖
84,宝马1系,2018款,118i,5.5万公里,2019-01,杭州,5年黑金会员,10.88,27.98万,新上架-0次过户
85,宝马7系,2010款,760Li,12万公里,2013-03,宁波,6年黄金会员,28.8,273.32万,0次过户
86,宝马7系,2010款,760Li,15万公里,2012-02,宁波,6年黄金会员,25.8,273.32万,0次过户
87,宝马7系,2010款,760Li,15万公里,2012-08,宁波,6年黄金会员,22.8,273.32万,0次过户
88,宝马1系,2017款,118i,8万公里,2017-09,绍兴,2年黄金会员,9.6,28.20万,0次过户
89,宝马1系(进口),2013款,改款,5万公里,2014-05,杭州,6年黑金会员,7.78,28.44万,0次过户
90,宝马2系多功能旅行车,2018款,220i,4.8万公里,2019-03,杭州,1年黄金会员,12.88,28.63万,无
91,宝马X2,2021款,sDrive20i,2.52万公里,2021-03,嘉兴,3年钻石会员,17.98,28.96万,准新车-原厂质保
92,宝马X2,2020款,sDrive20i,2.5万公里,2020-12,杭州,5年黑金会员,17.88,28.96万,0次过户-原厂质保
93,宝马2系,2021款,225i,0.78万公里,2021-09,杭州,3年黄金会员,21.58,29.29万,准新车-0次过户
94,宝马2系多功能旅行车,2015款,218i,7.5万公里,2018-02,杭州,1年黄金会员,10.8,29.29万,无
95,宝马2系,2021款,225i,0.4万公里,2021-03,杭州,5年黄金会员,22.98,29.35万,新上架-准新车
96,宝马2系,2015款,218i,8万公里,2017-07,温州,1年黄金会员,10.88,29.96万,0次过户
97,宝马2系,2015款,218i,6万公里,2016-01,金华,1年黄金会员,11.5,29.96万,新上架-0次过户
98,宝马X1,2019款,sDrive18Li,4.7万公里,2019-06,绍兴,2年黄金会员,15.8,30.05万,0次过户
99,宝马3系,2021款,325Li,3万公里,2021-03,宁波,1年黄金会员,17.3,30.26万,0次过户-原厂质保
100,宝马X1,2020款,sDrive20Li,3.6万公里,2020-09,台州,1年黄金会员,17.3,30.26万,0次过户-原厂质保
101,宝马X1,2021款,sDrive20Li,2万公里,2020-12,杭州,6年黄金会员,16.8,30.37万,新上架-0次过户
102,宝马X1,2021款,sDrive20Li,1.46万公里,2021-08,杭州,5年黄金会员,17.8,30.37万,准新车-原厂质保
103,宝马X1,2021款,sDrive20Li,1万公里,2021-07,温州,3年黄金会员,16.9,30.37万,新上架-准新车
104,宝马X1,2021款,sDrive20Li,3万公里,2021-01,嘉兴,2年黄金会员,18.5,30.37万,原厂质保
105,宝马2系旅行车(进口),2015款,218i,6万公里,2016-10,金华,1年黄金会员,8.0,30.38万,新上架-0次过户
106,宝马X1,2012款,sDrive18i,8.7万公里,2013-01,嘉兴,3年黄金会员,7.42,30.61万,0次过户
107,宝马1系(进口),2013款,改款,10.6万公里,2012-05,金华,3年会员,6.39,30.61万,无
108,宝马X1,2012款,sDrive18i,8.6万公里,2012-11,杭州,3年钻石会员,6.18,30.61万,0次过户
109,宝马X1,2012款,sDrive18i,10万公里,2012-07,宁波,1年黄金会员,6.08,30.61万,无
110,宝马3系,2015款,316i,7.5万公里,2014-07,杭州,1年黄金会员,10.8,30.72万,无
111,宝马X1,2018款,sDrive18Li,11万公里,2017-08,嘉兴,2年黄金会员,12.98,30.81万,0次过户
112,宝马X1,2018款,sDrive18Li,4万公里,2018-06,金华,2年黄金会员,13.8,30.81万,0次过户
113,宝马X1,2018款,sDrive18Li,4.7万公里,2019-02,杭州,2年黄金会员,15.89,30.81万,无
114,宝马X1,2018款,sDrive18Li,5.2万公里,2017-01,丽水,3年黄金会员,13.5,30.81万,0次过户
115,宝马X1,2013款,sDrive18i,6万公里,2014-05,台州,1年黄金会员,7.68,30.94万,0次过户
116,宝马X1,2013款,sDrive18i,8.9万公里,2013-07,宁波,3年黄金会员,6.58,30.94万,新上架-0次过户
117,宝马X1,2014款,sDrive18i,10万公里,2014-09,杭州,6年钻石会员,7.98,30.94万,新上架
118,宝马X1,2014款,sDrive18i,14.52万公里,2015-05,杭州,6年黑金会员,8.88,30.94万,0次过户
119,宝马X1,2014款,sDrive18i,11.47万公里,2015-02,杭州,6年黑金会员,9.58,30.94万,0次过户
120,宝马X1,2014款,sDrive18i,15万公里,2015-02,杭州,7年黄金会员,9.26,30.94万,无
121,宝马X1,2013款,sDrive18i,5.8万公里,2014-06,金华,4年黄金会员,7.6,30.94万,0次过户
122,宝马X1,2014款,sDrive18i,6.6万公里,2015-03,温州,2年黄金会员,10.9,30.94万,0次过户
123,宝马X2,2021款,sDrive25i,1.9万公里,2020-12,杭州,5年黑金会员,17.88,31.02万,4S店直卖-原厂质保
124,宝马X2,2022款,sDrive25i,0.01万公里,未上牌,嘉兴,3年钻石会员,19.88,31.02万,准新车-0次过户
125,宝马X1,2016款,sDrive18Li,5.8万公里,2017-04,宁波,1年黄金会员,11.88,31.04万,0次过户
126,宝马3系,2017款,318i,5万公里,2017-09,嘉兴,1年黄金会员,13.99,31.26万,0次过户
127,宝马3系,2017款,318i,6万公里,2017-10,温州,3年黄金会员,13.9,31.26万,0次过户
128,宝马1系(进口),2008款,120i,10万公里,2010-01,温州,7年黄金会员,3.98,31.26万,无
129,宝马3系,2017款,318i,5.6万公里,2018-01,温州,2年黄金会员,13.98,31.26万,无
130,宝马1系(进口),2008款,120i,7.1万公里,2009-10,湖州,1年黄金会员,3.38,31.26万,无
131,宝马X2,2020款,sDrive25i,3.98万公里,2020-11,台州,2年黄金会员,17.5,31.46万,0次过户-原厂质保
132,宝马X2,2020款,sDrive25i,3.5万公里,2021-03,杭州,6年黄金会员,16.88,31.46万,新上架-准新车
133,宝马1系(进口),2013款,改款,11万公里,2015-04,衢州,1年黄金会员,7.98,31.70万,无
134,宝马3系,2010款,318i,8.2万公里,2010-10,宁波,2年会员,4.2,31.80万,0次过户
135,宝马7系,2016款,730Li,9.5万公里,2016-06,宁波,2年会员,4.2,31.80万,0次过户
136,宝马M4,2021款,M4双门轿跑车,1.5万公里,2022-03,宁波,2年会员,4.2,31.80万,0次过户
137,宝马X1,2016款,sDrive18Li,9.7万公里,2016-07,宁波,2年会员,4.2,31.80万,0次过户
138,宝马3系,2017款,320Li,6.8万公里,2017-04,宁波,2年会员,4.2,31.80万,0次过户
139,宝马2系,2019款,225i,6.8万公里,2019-07,杭州,5年黑金会员,18.8,31.89万,新上架-0次过户
140,宝马2系,2018款,220i,4.1万公里,2018-08,杭州,1年会员,16.78,31.89万,0次过户
141,宝马2系,2018款,220i,8.6万公里,2018-06,金华,2年黄金会员,17.5,31.89万,无
142,宝马3系,2020款,320i,3万公里,2020-09,绍兴,1年黄金会员,23.0,31.90万,4S店直卖-0次过户
143,宝马3系,2022款,320i,2万公里,2022-03,金华,6年黄金会员,24.58,31.90万,准新车-0次过户
144,宝马3系,2020款,320i,1万公里,2020-08,绍兴,5年黄金会员,25.98,31.90万,原厂质保
145,宝马X1,2020款,sDrive20Li,3万公里,2020-01,丽水,3年黄金会员,17.8,32.22万,0次过户-原厂质保
146,宝马X1,2020款,sDrive20Li,1万公里,2020-10,温州,3年黄金会员,17.8,32.22万,0次过户-原厂质保
147,宝马X1,2019款,sDrive18Li,6万公里,2019-05,杭州,2年黄金会员,13.68,32.22万,0次过户
148,宝马X1,2019款,sDrive18Li,6.65万公里,2019-06,杭州,3年黄金会员,13.98,32.22万,0次过户
149,宝马X1,2022款,sDrive20Li,0.01万公里,未上牌,台州,3年黄金会员,19.99,32.43万,准新车-0次过户
150,宝马3系(进口),2006款,320i典雅型,15万公里,2006-08,宁波,1年黄金会员,3.0,32.46万,0次过户
151,宝马1系(进口),2010款,120i运动限量版,11万公里,2010-09,杭州,4年会员,3.68,32.46万,新上架-0次过户
152,宝马3系(进口),2012款,318i领先型,9万公里,2011-07,杭州,3年黄金会员,4.6,32.54万,无
153,宝马2系多功能旅行车,2018款,220i,5万公里,2019-05,金华,1年黄金会员,13.5,32.54万,新上架-0次过户
154,宝马3系,2023款,320i,0.01万公里,未上牌,杭州,6年黄金会员,26.87,32.55万,新上架-准新车
155,宝马X1,2018款,sDrive18Li,6.58万公里,2017-10,宁波,1年黄金会员,13.38,32.98万,0次过户
156,宝马X1,2018款,sDrive18Li,6.3万公里,2017-07,宁波,2年会员,11.88,32.98万,0次过户
157,宝马5系,2014款,525Li,14万公里,2014-06,宁波,3年黄金会员,12.8,33.22万,无
158,宝马X1,2016款,sDrive18Li,19.74万公里,2017-08,杭州,6年黑金会员,11.88,33.22万,0次过户
159,宝马X1,2016款,sDrive18Li,7.9万公里,2017-04,金华,3年黄金会员,12.8,33.22万,无
160,宝马1系(进口),2012款,118i,7万公里,2012-04,宁波,2年黄金会员,6.0,33.22万,0次过户
161,宝马1系(进口),2012款,118i,7.5万公里,2012-01,宁波,1年会员,6.2,33.22万,无
162,宝马7系,2011款,730Li典雅型,11万公里,2011-09,杭州,1年会员,6.2,33.22万,无
163,宝马X1,2016款,sDrive18Li,9万公里,2016-11,温州,3年黄金会员,10.5,33.22万,无
164,宝马X1,2016款,sDrive18Li,13.28万公里,2016-12,杭州,6年黑金会员,11.88,33.22万,0次过户
165,宝马3系,2016款,316Li,6万公里,2016-06,温州,2年会员,13.8,33.63万,无
166,宝马3系,2018款,318Li,7.2万公里,2018-09,杭州,6年钻石会员,14.98,33.63万,新上架-4S店直卖
167,宝马2系,2021款,225i,1.9万公里,2021-01,湖州,1年黄金会员,20.98,33.63万,原厂质保
168,宝马X1,2021款,sDrive25Li,2万公里,2021-05,温州,1年黄金会员,21.5,33.63万,准新车-0次过户
169,宝马3系,2019款,320i,7万公里,2019-02,台州,2年黄金会员,16.88,33.63万,0次过户
170,宝马X1,2019款,sDrive20Li,5.6万公里,2019-01,温州,7年黄金会员,18.8,33.63万,0次过户
171,宝马3系,2019款,320i,6.1万公里,2019-03,杭州,6年钻石会员,17.88,33.63万,新上架-4S店直卖
172,宝马3系,2019款,320i,6万公里,2018-10,宁波,1年会员,16.3,33.63万,新上架-0次过户
173,宝马X1,2020款,sDrive25Li,9万公里,2020-09,绍兴,5年黄金会员,18.18,33.63万,0次过户-原厂质保
174,宝马X1,2019款,sDrive20Li,3.6万公里,2019-01,宁波,1年黄金会员,16.0,33.63万,0次过户
175,宝马X1,2021款,sDrive25Li,2万公里,2021-03,丽水,3年黄金会员,21.68,33.63万,准新车-0次过户
176,宝马X1,2022款,sDrive25Li,0.01万公里,未上牌,杭州,6年黄金会员,21.8,33.63万,新上架-准新车
177,宝马X1,2022款,sDrive25Li,0.01万公里,未上牌,杭州,5年黑金会员,22.18,33.63万,新上架-准新车
178,宝马2系,2019款,225i,4万公里,2020-10,金华,1年黄金会员,24.8,33.63万,无
179,宝马3系,2017款,318Li,8.6万公里,2017-09,杭州,6年钻石会员,13.88,33.64万,新上架-4S店直卖
180,宝马3系,2013款,316i,9万公里,2013-12,金华,1年黄金会员,9.5,33.65万,新上架-0次过户
181,宝马3系,2013款,316i,10万公里,2013-10,温州,1年黄金会员,8.88,33.65万,无
182,宝马3系,2022款,325i,0.5万公里,2022-01,杭州,3年黄金会员,28.78,33.90万,准新车-0次过户
183,宝马3系,2022款,325i,0.69万公里,2021-12,杭州,5年黄金会员,27.9,33.90万,准新车-原厂质保
184,宝马3系,2020款,325i,5.1万公里,2020-01,台州,1年黄金会员,23.88,34.07万,新上架-0次过户
185,宝马3系,2021款,改款,1.2万公里,2021-06,宁波,1年会员,25.5,34.07万,准新车-原厂质保
186,宝马3系,2020款,325i,3万公里,2020-07,宁波,1年黑金会员,26.0,34.07万,0次过户-原厂质保
187,宝马3系,2021款,325i,1.59万公里,2021-06,杭州,3年黄金会员,26.98,34.07万,新上架-准新车
188,宝马3系,2022款,改款,0.01万公里,未上牌,杭州,6年黄金会员,27.6,34.07万,新上架-准新车
189,宝马3系,2019款,320Li,7.31万公里,2019-01,杭州,1年会员,17.08,34.39万,无
190,宝马3系,2019款,320Li,10万公里,2019-03,金华,5年黄金会员,18.8,34.39万,0次过户
191,宝马3系,2018款,320i,7万公里,2018-03,宁波,3年会员,16.0,34.39万,0次过户
192,宝马7系,2013款,740Li,8万公里,2014-11,温州,1年黄金会员,18.98,34.39万,无
193,宝马X1,2018款,sDrive20Li,8.86万公里,2017-05,湖州,5年黄金会员,14.98,34.39万,无
194,宝马X4,2016款,xDrive20i,8万公里,2017-08,温州,1年黄金会员,18.98,34.39万,无
195,宝马3系,2019款,320Li,7万公里,2019-01,杭州,3年黄金会员,18.6,34.39万,无
196,宝马3系,2019款,320Li,5万公里,2019-01,金华,3年黄金会员,19.5,34.39万,无
197,宝马X1,2018款,sDrive20Li,6.6万公里,2018-05,宁波,3年钻石会员,15.8,34.39万,无
198,宝马4系,2014款,420i,3万公里,2014-09,温州,1年黄金会员,18.98,34.39万,无
199,宝马3系,2019款,320Li,8.1万公里,2018-12,湖州,1年黄金会员,18.98,34.39万,无
200,宝马2系,2015款,220i,4万公里,2016-04,温州,1年黄金会员,18.98,34.39万,无
201,宝马M4,2017款,M4敞篷轿跑车,3万公里,2019-06,温州,1年黄金会员,18.98,34.39万,无
202,宝马X1,2018款,sDrive20Li,5.36万公里,2018-01,杭州,3年黄金会员,15.5,34.39万,新上架-0次过户
203,宝马3系,2023款,325i,0.01万公里,未上牌,杭州,6年钻石会员,29.4,34.40万,新上架-准新车
204,宝马3系,2021款,320Li,2万公里,2020-12,宁波,1年会员,22.88,34.62万,0次过户-原厂质保
205,宝马3系,2021款,320Li,6万公里,2021-04,金华,5年黄金会员,25.8,34.62万,无
206,宝马3系,2021款,改款,1.5万公里,2021-02,杭州,4年黄金会员,26.8,34.62万,准新车-0次过户
207,宝马3系,2020款,320Li,3万公里,2020-08,宁波,3年会员,21.5,34.62万,0次过户-原厂质保
