,品牌,生产,型号,里程,日期,地区,会员,原价,现价,过户情况
208,宝马3系,2021款,320Li,1.3万公里,2021-08,宁波,1年黄金会员,25.7,34.62万,无
209,宝马3系,2021款,320Li,1万公里,2022-12,杭州,6年黄金会员,27.99,34.62万,新上架-准新车
210,宝马3系,2021款,320Li,1.3万公里,2021-01,杭州,6年钻石会员,27.88,34.62万,新上架-4S店直卖
211,宝马3系,2021款,320Li,3.5万公里,2020-10,杭州,1年黄金会员,23.8,34.62万,0次过户-原厂质保
212,宝马3系,2020款,320Li,5万公里,2020-05,金华,2年黄金会员,24.3,34.62万,无
213,宝马3系,2020款,320Li,3.2万公里,2020-04,宁波,4年会员,21.8,34.62万,0次过户-原厂质保
214,宝马3系,2021款,改款,4.7万公里,2021-05,宁波,5年黄金会员,26.8,34.62万,无
215,宝马3系,2017款,320i,8万公里,2016-11,宁波,1年黄金会员,14.8,34.74万,无
216,宝马3系,2017款,320i,6.1万公里,2017-07,宁波,3年钻石会员,16.8,34.74万,0次过户
217,宝马3系,2017款,320i,5万公里,2017-09,温州,2年黄金会员,16.98,34.74万,0次过户
218,宝马3系,2014款,320i,10万公里,2013-12,杭州,2年会员,10.88,34.74万,0次过户
219,宝马3系,2017款,320i,9.31万公里,2016-11,丽水,1年会员,13.58,34.74万,0次过户
220,宝马X4,2014款,xDrive20i,6.5万公里,2015-04,宁波,1年会员,11.38,34.93万,0次过户
221,宝马X1,2019款,sDrive18Li,4.2万公里,2019-06,宁波,1年会员,11.38,34.93万,0次过户
222,宝马5系,2018款,528Li,6万公里,2018-02,宁波,1年会员,11.38,34.93万,0次过户
223,宝马3系,2015款,316Li,5.24万公里,2015-08,杭州,1年会员,11.38,34.93万,0次过户
224,宝马4系,2014款,428i,6.8万公里,2014-07,宁波,1年会员,11.38,34.93万,0次过户
225,宝马3系,2018款,320Li,2万公里,2017-12,宁波,1年黄金会员,16.98,35.15万,0次过户
226,宝马3系,2018款,320Li,6万公里,2017-12,温州,3年黄金会员,14.8,35.15万,0次过户
227,宝马7系,2019款,740Li,6.8万公里,2020-01,宁波,1年黄金会员,16.88,35.15万,新上架
228,宝马3系,2018款,320Li,7.55万公里,2017-10,湖州,1年黄金会员,16.88,35.15万,新上架
229,宝马X2,2021款,改款,0.28万公里,2021-12,杭州,6年钻石会员,21.98,35.15万,新上架-准新车
230,宝马3系,2018款,320Li,7万公里,2017-12,丽水,2年会员,16.88,35.15万,0次过户
231,宝马3系,2018款,320Li,5万公里,2018-07,嘉兴,2年黄金会员,17.58,35.15万,0次过户
232,宝马3系,2018款,320Li,10万公里,2017-10,衢州,1年黄金会员,15.68,35.15万,无
233,宝马3系,2020款,325Li,3万公里,2020-01,温州,1年黄金会员,26.28,35.16万,0次过户
234,宝马3系,2020款,325Li,1.5万公里,2020-01,金华,3年黄金会员,25.28,35.16万,无
235,宝马3系,2020款,325Li,5.1万公里,2020-01,金华,6年黄金会员,25.68,35.16万,0次过户
236,宝马7系,2019款,改款,4万公里,2020-01,宁波,1年会员,23.8,35.16万,0次过户-原厂质保
237,宝马3系,2020款,改款,1.9万公里,2020-04,宁波,3年钻石会员,26.68,35.16万,无
238,宝马3系,2020款,改款,3.4万公里,2020-03,宁波,1年会员,23.8,35.16万,0次过户-原厂质保
239,宝马X1,2014款,sDrive18i,11万公里,2015-03,杭州,1年会员,23.8,35.16万,0次过户-原厂质保
240,宝马2系,2015款,218i,4万公里,2017-03,杭州,2年黄金会员,18.8,35.31万,0次过户
241,宝马2系,2015款,218i,6万公里,2016-03,嘉兴,3年黄金会员,14.8,35.31万,0次过户
242,宝马3系,2018款,320Li,5万公里,2018-05,宁波,3年黄金会员,17.98,35.31万,0次过户
243,宝马2系,2015款,218i,6万公里,2017-08,绍兴,3年黄金会员,17.98,35.31万,0次过户
244,宝马2系,2015款,218i,6万公里,2016-03,宁波,3年会员,14.8,35.31万,无
245,宝马2系,2015款,218i,5万公里,2016-11,宁波,2年黄金会员,15.5,35.31万,0次过户
246,宝马2系,2015款,218i,4.9万公里,2016-12,金华,4年黄金会员,15.98,35.31万,0次过户
247,宝马2系,2015款,218i,8.1万公里,2017-02,台州,3年黄金会员,16.98,35.31万,无
248,宝马2系,2015款,218i,5万公里,2017-02,宁波,2年黄金会员,16.0,35.31万,0次过户
249,宝马3系,2016款,320Li,13.1万公里,2016-04,金华,3年黄金会员,14.88,35.36万,0次过户
250,宝马3系,2017款,320Li,4.8万公里,2017-07,宁波,1年黄金会员,14.8,35.38万,0次过户
251,宝马3系,2017款,320Li,6.6万公里,2016-11,嘉兴,3年黄金会员,15.9,35.38万,0次过户
252,宝马3系,2017款,320Li,3.3万公里,2017-04,嘉兴,2年黄金会员,17.88,35.38万,无
253,宝马3系,2017款,320Li,11.83万公里,2017-08,杭州,6年黑金会员,16.88,35.38万,0次过户
254,宝马3系,2017款,320Li,7万公里,2017-06,宁波,4年黄金会员,15.6,35.38万,0次过户
255,宝马3系,2017款,320Li,7.6万公里,2017-06,杭州,3年黄金会员,16.5,35.38万,0次过户
256,宝马3系,2017款,320Li,7.32万公里,2017-06,宁波,1年黄金会员,17.38,35.38万,新上架-0次过户
257,宝马3系,2015款,320i,11.8万公里,2015-05,宁波,1年黄金会员,11.3,35.60万,0次过户
258,宝马3系,2020款,改款,0.9万公里,2020-06,宁波,1年黄金会员,27.0,35.81万,原厂质保
259,宝马3系,2021款,325i,2.2万公里,2021-03,杭州,6年钻石会员,30.5,36.03万,新上架-准新车
260,宝马3系,2021款,325i,2万公里,2021-07,杭州,6年黄金会员,28.9,36.03万,新上架-准新车
261,宝马3系,2015款,320i,13万公里,2015-06,嘉兴,6年会员,10.8,36.15万,0次过户
262,宝马3系,2013款,320i,8万公里,2013-09,温州,2年黄金会员,9.28,36.80万,0次过户
263,宝马3系,2019款,320Li,5万公里,2019-06,温州,1年黄金会员,19.5,36.88万,0次过户
264,宝马3系,2019款,320i,8.1万公里,2019-04,杭州,3年钻石会员,18.98,36.88万,无
265,宝马X1,2021款,改款,0.36万公里,2021-12,杭州,6年钻石会员,23.98,36.88万,新上架-准新车
266,宝马X1,2021款,xDrive25Li,0.3万公里,2021-10,丽水,2年黄金会员,22.98,36.88万,准新车-0次过户
267,宝马X1,2022款,改款,1.6万公里,2022-02,台州,6年黄金会员,23.58,36.88万,新上架-准新车
268,宝马3系,2019款,320i,4万公里,2019-02,温州,2年黄金会员,19.58,36.88万,0次过户
269,宝马3系,2019款,320Li,5万公里,2019-03,宁波,4年黄金会员,20.6,36.88万,0次过户
270,宝马3系,2019款,320Li,3.8万公里,2019-10,宁波,1年黄金会员,19.58,36.88万,0次过户
271,宝马3系,2019款,320Li,6.5万公里,2019-07,嘉兴,5年钻石会员,21.8,36.88万,0次过户
272,宝马X1,2021款,改款,0.3万公里,2021-10,丽水,2年黄金会员,23.88,36.88万,准新车-0次过户
273,宝马3系,2019款,320i,2.7万公里,2019-02,绍兴,6年黄金会员,17.98,36.88万,新上架-0次过户
274,宝马3系,2023款,325i,0.02万公里,未上牌,杭州,6年钻石会员,31.58,36.90万,新上架-准新车
275,宝马3系,2014款,320i,6.13万公里,2014-07,杭州,1年会员,11.4,37.23万,无
276,宝马3系,2014款,320i,12.5万公里,2014-02,杭州,6年钻石会员,11.88,37.23万,新上架-0次过户
277,宝马X1,2016款,sDrive20Li,7.9万公里,2016-11,嘉兴,2年黄金会员,15.3,37.45万,无
278,宝马5系,2012款,523Li,11万公里,2012-08,宁波,1年会员,22.3,37.66万,新上架-0次过户
279,宝马3系,2021款,325Li,6.5万公里,2021-02,宁波,1年会员,22.3,37.66万,新上架-0次过户
280,宝马3系,2021款,改款二,0.8万公里,2021-12,温州,1年黄金会员,29.98,37.66万,准新车-0次过户
281,宝马3系,2021款,改款,0.51万公里,2021-09,杭州,5年黄金会员,29.6,37.66万,准新车-原厂质保
282,宝马3系,2021款,改款,2万公里,2021-05,温州,3年黄金会员,30.8,37.66万,无
283,宝马3系,2020款,改款,0.6万公里,2020-10,杭州,2年黄金会员,28.8,37.66万,0次过户-原厂质保
284,宝马3系,2021款,改款,2.5万公里,2021-03,杭州,6年钻石会员,29.8,37.66万,新上架-准新车
285,宝马3系,2020款,325Li,3万公里,2019-09,宁波,2年黄金会员,25.0,37.66万,0次过户
286,宝马3系,2021款,325Li,3万公里,2021-03,丽水,3年黄金会员,27.98,37.66万,准新车-0次过户
287,宝马3系,2020款,325Li,3.7万公里,2019-11,宁波,1年会员,22.8,37.66万,0次过户
288,宝马5系,2021款,530Li,1.7万公里,2021-08,宁波,1年黄金会员,28.88,37.66万,准新车-0次过户
289,宝马3系,2021款,325Li,2.7万公里,2021-02,衢州,1年黄金会员,28.88,37.66万,准新车-0次过户
290,宝马3系,2020款,325Li,4万公里,2020-09,宁波,1年黄金会员,25.0,37.66万,0次过户-原厂质保
291,宝马3系,2021款,325Li,0.88万公里,2021-07,湖州,3年黄金会员,29.6,37.66万,新上架-准新车
292,宝马3系,2022款,改款,0.01万公里,未上牌,杭州,6年钻石会员,31.5,37.66万,新上架-准新车
293,宝马3系,2020款,325Li,3.5万公里,2020-01,宁波,1年会员,25.78,37.66万,0次过户
294,宝马3系,2021款,325Li,2.8万公里,2021-01,台州,5年黄金会员,29.88,37.66万,0次过户-原厂质保
295,宝马3系,2020款,325Li,3万公里,2019-11,温州,3年黄金会员,26.5,37.66万,0次过户
296,宝马3系,2021款,325Li,1.7万公里,2021-04,宁波,1年会员,22.18,37.66万,准新车-0次过户
297,宝马3系,2021款,325Li,2.79万公里,2021-01,嘉兴,3年钻石会员,29.88,37.66万,原厂质保
298,宝马3系,2020款,325Li,3万公里,2020-05,宁波,2年黄金会员,22.6,37.66万,0次过户-原厂质保
299,宝马3系,2020款,325Li,2.6万公里,2020-03,宁波,2年黄金会员,25.0,37.66万,0次过户-原厂质保
300,宝马3系,2020款,325Li,3.11万公里,2020-07,衢州,6年黄金会员,26.58,37.66万,无
301,宝马3系,2020款,325Li,4万公里,2019-09,宁波,1年黄金会员,21.5,37.66万,0次过户
302,宝马3系,2018款,320Li,4.3万公里,2018-09,衢州,5年黄金会员,19.98,37.97万,无
303,宝马3系,2018款,320Li,4.6万公里,2018-01,温州,1年黄金会员,14.5,37.97万,无
304,宝马3系,2016款,320Li,7万公里,2016-06,温州,4年黄金会员,12.98,37.97万,新上架-0次过户
305,宝马3系,2015款,320Li,10万公里,2015-11,温州,1年黄金会员,13.18,37.97万,0次过户
306,宝马3系,2016款,320Li,7万公里,2015-12,宁波,2年黄金会员,15.8,37.97万,0次过户
307,宝马3系,2016款,320Li,8万公里,2016-02,宁波,2年黄金会员,14.58,37.97万,0次过户
308,宝马3系,2015款,320Li,6万公里,2015-08,绍兴,5年黄金会员,13.58,37.97万,无
309,宝马3系,2015款,320Li,10万公里,2015-06,金华,3年黄金会员,13.8,37.97万,新上架-0次过户
310,宝马3系,2012款,320i,11万公里,2012-01,温州,3年黄金会员,4.68,38.10万,无
311,宝马3系,2017款,320Li,8.6万公里,2017-06,宁波,1年黄金会员,15.98,38.41万,0次过户
312,宝马3系,2017款,320Li,11万公里,2017-08,绍兴,4年黄金会员,16.58,38.41万,0次过户
313,宝马3系,2017款,320Li,8.9万公里,2016-11,金华,6年黄金会员,15.88,38.41万,无
314,宝马3系,2017款,320Li,8万公里,2017-01,金华,5年黄金会员,16.2,38.41万,0次过户
315,宝马3系,2013款,320Li,8.7万公里,2014-05,温州,3年会员,11.98,38.49万,0次过户
316,宝马X5(进口),2018款,xDrive28i,6万公里,2017-11,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
317,宝马3系,2013款,320Li,16万公里,2013-04,台州,6年黄金会员,11.5,38.49万,0次过户
318,宝马1系,2021款,120i,1万公里,2021-02,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
319,宝马3系,2013款,320Li,8.69万公里,2012-12,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
320,宝马3系,2013款,320Li,11.32万公里,2014-03,杭州,6年黑金会员,12.78,38.49万,0次过户
321,宝马3系,2013款,320Li,13万公里,2014-03,温州,1年黄金会员,10.98,38.49万,无
322,宝马3系,2014款,320Li,10万公里,2014-12,温州,1年会员,11.8,38.95万,0次过户
323,宝马3系,2014款,320Li,4万公里,2015-06,温州,1年黄金会员,13.8,38.95万,0次过户
324,宝马3系,2015款,320Li,4.1万公里,2015-05,温州,3年会员,14.8,38.95万,0次过户
325,宝马3系,2014款,320Li,12万公里,2016-05,嘉兴,6年会员,14.8,38.95万,0次过户
326,宝马5系,2017款,525Li,9.81万公里,2017-01,杭州,2年会员,11.98,38.95万,无
327,宝马5系,2020款,530Li,2.8万公里,2020-08,宁波,2年会员,11.98,38.95万,无
328,宝马4系,2017款,425i,5.2万公里,2018-12,宁波,2年会员,11.98,38.95万,无
329,宝马3系,2014款,320Li,7.9万公里,2014-10,温州,1年会员,12.98,38.95万,无
330,宝马3系,2014款,320Li,12万公里,2014-08,嘉兴,2年会员,11.98,38.95万,无
331,宝马5系,2017款,525Li,7万公里,2017-04,宁波,2年会员,11.98,38.95万,无
332,宝马3系,2022款,325Li,0.3万公里,2022-06,杭州,6年黄金会员,32.8,38.96万,无
333,宝马X1,2015款,xDrive20i,9.6万公里,2015-11,绍兴,4年黄金会员,11.98,38.97万,0次过户
334,宝马4系,2017款,425i,6万公里,2019-03,嘉兴,3年黄金会员,23.8,39.06万,0次过户
335,宝马3系,2019款,320Li,6.1万公里,2019-03,杭州,3年黄金会员,21.88,39.06万,4S店直卖-0次过户
336,宝马3系GT,2020款,320i,1.8万公里,2021-04,湖州,5年黄金会员,28.98,39.06万,准新车-原厂质保
337,宝马3系,2019款,320Li,3万公里,2019-03,温州,3年黄金会员,18.8,39.06万,0次过户
338,宝马3系GT,2019款,320i,5万公里,2019-06,杭州,6年钻石会员,20.8,39.06万,无
339,宝马4系,2017款,425i,7.72万公里,2018-07,杭州,4年钻石会员,21.58,39.06万,无
340,宝马4系,2017款,425i,10.7万公里,2017-11,绍兴,4年黄金会员,20.98,39.06万,无
341,宝马3系,2019款,320Li,5.7万公里,2018-12,杭州,6年钻石会员,21.5,39.06万,新上架-4S店直卖
342,宝马4系,2017款,425i,1.5万公里,2019-01,杭州,6年钻石会员,24.98,39.06万,新上架-4S店直卖
343,宝马3系GT,2020款,320i,1.8万公里,2020-06,温州,3年黄金会员,26.8,39.06万,无
344,宝马4系,2017款,425i,9.8万公里,2019-01,湖州,4年黄金会员,23.68,39.06万,无
345,宝马3系,2022款,325Li,0.01万公里,未上牌,湖州,3年黄金会员,33.3,39.11万,新上架-准新车
346,宝马3系,2021款,325Li,3.7万公里,2021-02,台州,5年黄金会员,30.58,39.28万,准新车-原厂质保
347,宝马3系,2020款,325Li,4.4万公里,2020-01,宁波,1年黄金会员,25.8,39.28万,0次过户
348,宝马4系,2021款,425i,1.48万公里,2021-06,杭州,2年黄金会员,37.5,39.49万,无
349,宝马3系,2020款,325Li,4万公里,2021-02,宁波,2年黄金会员,24.6,39.50万,新上架-准新车
350,宝马3系,2020款,改款,6万公里,2020-03,宁波,7年黄金会员,27.9,39.50万,无
351,宝马3系,2021款,改款,1.7万公里,2021-03,杭州,6年钻石会员,32.5,39.72万,新上架-准新车
352,宝马3系,2021款,325Li,0.9万公里,2021-09,嘉兴,3年钻石会员,32.88,39.72万,新上架-准新车
353,宝马X1(进口),2010款,sDrive18i豪华型,7万公里,2012-03,杭州,3年黄金会员,6.88,39.84万,0次过户
354,宝马X1(进口),2012款,sDrive18i豪华型,10万公里,2013-02,绍兴,5年黄金会员,6.6,39.84万,0次过户
355,宝马X1(进口),2010款,sDrive18i豪华型,8万公里,2012-07,绍兴,2年黄金会员,6.88,39.84万,0次过户
356,宝马X1(进口),2010款,sDrive18i豪华型,15万公里,2011-01,金华,3年黄金会员,4.98,39.84万,0次过户
357,宝马X1(进口),2012款,sDrive18i豪华型,9.5万公里,2014-03,嘉兴,2年黄金会员,7.99,39.84万,0次过户
358,宝马1系(进口),2011款,120i,6万公里,2013-01,宁波,1年会员,9.6,39.95万,无
359,宝马1系(进口),2011款,120i,5万公里,2014-07,宁波,2年黄金会员,9.3,39.95万,0次过户
360,宝马1系(进口),2011款,120i,8.8万公里,2012-05,嘉兴,3年黄金会员,7.8,39.95万,无
361,宝马3系,2005款,320i,12万公里,2006-06,宁波,1年黄金会员,3.0,40.11万,0次过户
362,宝马3系GT,2018款,320i,4.5万公里,2018-10,温州,3年黄金会员,20.5,40.14万,无
363,宝马3系GT,2018款,320i,4.5万公里,2019-08,杭州,1年黄金会员,21.98,40.14万,无
364,宝马3系,2022款,330i,0.01万公里,未上牌,嘉兴,3年钻石会员,33.88,40.26万,新上架-准新车
365,宝马3系,2022款,330i,0.08万公里,未上牌,杭州,5年黑金会员,30.88,40.26万,新上架-准新车
366,宝马3系,2022款,330i,0.3万公里,2021-11,宁波,5年黄金会员,31.98,40.26万,新上架-准新车
367,宝马2系,2017款,220i,7.6万公里,2017-01,杭州,7年黄金会员,18.8,40.27万,0次过户
368,宝马2系,2018款,225i,6.6万公里,2017-12,宁波,3年钻石会员,19.5,40.57万,无
369,宝马4系,2022款,425i,1.43万公里,2022-01,杭州,5年黄金会员,38.98,40.59万,准新车-原厂质保
370,宝马4系,2022款,425i,1.3万公里,2022-02,金华,1年黄金会员,37.28,40.59万,准新车-0次过户
371,宝马3系(进口),2010款,320i豪华型,13万公里,2010-07,宁波,3年黄金会员,4.38,40.71万,0次过户
372,宝马3系,2010款,320i,9万公里,2011-11,宁波,1年黄金会员,5.0,40.71万,0次过户
373,宝马3系(进口),2013款,320i运动设计套装,7万公里,2013-08,嘉兴,1年黄金会员,10.88,41.14万,0次过户
374,宝马3系(进口),2013款,320i运动设计套装,16万公里,2012-10,绍兴,4年黄金会员,9.98,41.14万,无
375,宝马3系,2020款,330i,3.8万公里,2021-01,宁波,1年会员,28.8,41.24万,0次过户-原厂质保
376,宝马3系,2017款,320Li,8.84万公里,2017-03,杭州,6年黑金会员,16.58,41.24万,0次过户
377,宝马3系,2021款,改款,1.4万公里,2021-06,杭州,6年钻石会员,34.8,41.24万,新上架-准新车
378,宝马3系,2021款,330i,2.2万公里,2021-06,杭州,6年黄金会员,33.9,41.24万,新上架-准新车
379,宝马3系,2021款,330i,0.08万公里,未上牌,嘉兴,3年钻石会员,35.38,41.24万,准新车-0次过户
380,宝马3系,2023款,330i,0.2万公里,未上牌,杭州,6年钻石会员,34.58,41.45万,新上架-准新车
381,宝马3系,2023款,330i,0.01万公里,未上牌,嘉兴,3年钻石会员,35.5,41.45万,准新车-0次过户
382,宝马X1,2016款,xDrive20Li,9万公里,2017-04,温州,4年黄金会员,14.68,41.79万,无
383,宝马3系,2012款,320i,9万公里,2012-12,温州,1年会员,5.8,42.20万,0次过户
384,宝马X3,2018款,xDrive25i,13万公里,2019-03,金华,5年黄金会员,24.5,42.31万,无
385,宝马X3,2020款,xDrive25i,4万公里,2020-04,宁波,1年黄金会员,29.88,42.31万,0次过户-原厂质保
386,宝马X3,2021款,xDrive25i,5.4万公里,2021-01,杭州,1年黄金会员,31.68,42.31万,0次过户-原厂质保
387,宝马X3,2019款,xDrive25i,6万公里,2019-04,丽水,2年会员,27.88,42.31万,新上架-0次过户
388,宝马4系,2019款,425i,3万公里,2019-10,温州,4年黄金会员,29.98,42.31万,新上架-0次过户
389,宝马X3,2018款,xDrive25i,3.1万公里,2019-05,宁波,6年黄金会员,28.0,42.31万,0次过户
390,宝马X3,2020款,xDrive25i,4万公里,2020-04,衢州,5年黄金会员,30.88,42.31万,0次过户-原厂质保
391,宝马4系,2022款,425i,0.9万公里,2022-01,杭州,6年黄金会员,43.8,42.52万,无
392,宝马3系,2016款,320Li,6.2万公里,2015-12,嘉兴,2年黄金会员,15.28,42.75万,无
393,宝马3系,2013款,改款,12万公里,2014-05,温州,1年黄金会员,12.25,42.98万,无
394,宝马3系,2013款,改款,10万公里,2014-08,温州,1年黄金会员,12.98,42.98万,无
395,宝马X1新能源,2018款,xDrive25Le,6.1万公里,2018-06,金华,3年黄金会员,14.6,43.07万,0次过户
396,宝马3系,2015款,320Li,10万公里,2015-06,杭州,2年黄金会员,13.5,43.07万,无
397,宝马4系,2021款,425i,1.8万公里,2021-03,杭州,3年黄金会员,37.98,43.07万,准新车-0次过户
398,宝马X3,2022款,xDrive25i,0.7万公里,2022-07,杭州,4年黄金会员,34.8,43.08万,新上架-准新车
399,宝马3系GT,2016款,320i,9.9万公里,2017-10,杭州,5年会员,18.98,43.20万,无
400,宝马3系GT,2016款,320i,6.8万公里,2017-11,宁波,1年黄金会员,17.58,43.20万,0次过户
401,宝马3系,2013款,320Li,11.7万公里,2013-04,温州,2年黄金会员,10.9,43.31万,无
402,宝马X3,2018款,xDrive25i,8.81万公里,2018-10,衢州,3年黄金会员,24.9,43.40万,无
403,宝马4系,2017款,430i,6万公里,2018-04,嘉兴,4年会员,23.8,43.40万,0次过户
404,宝马4系,2014款,420i,10万公里,2015-03,湖州,4年会员,23.8,43.40万,0次过户
405,宝马X1新能源,2021款,xDrive30Le,2.3万公里,2021-06,杭州,6年钻石会员,22.8,43.40万,准新车-4S店直卖
406,宝马X3,2018款,xDrive25i,7.3万公里,2018-09,宁波,4年会员,23.8,43.40万,0次过户
407,宝马X3,2018款,xDrive25i,6万公里,2018-07,杭州,6年钻石会员,25.9,43.40万,无
408,宝马X3,2018款,xDrive25i,5万公里,2018-08,宁波,1年会员,24.3,43.40万,0次过户
409,宝马3系,2013款,改款,9万公里,2012-09,宁波,4年会员,23.8,43.40万,0次过户
410,宝马iX3,2022款,领先型,0.33万公里,2021-10,杭州,3年黄金会员,31.98,43.41万,准新车-0次过户
411,宝马iX3,2022款,领先型,1.3万公里,2022-02,杭州,4年黄金会员,28.8,43.41万,准新车-0次过户
412,宝马iX3,2022款,领先型,0.2万公里,2021-10,绍兴,1年黄金会员,31.0,43.41万,准新车-4S店直卖
413,宝马iX3,2022款,领先型,0.5万公里,2022-01,台州,3年黄金会员,29.8,43.41万,准新车-0次过户
414,宝马iX3,2022款,领先型,0.66万公里,2022-05,杭州,5年黄金会员,28.5,43.41万,准新车-原厂质保
415,宝马iX3,2021款,改款,2万公里,2021-06,杭州,6年钻石会员,26.8,43.41万,新上架-准新车
416,宝马iX3,2022款,领先型,1.8万公里,2022-01,嘉兴,3年会员,29.8,43.41万,无
417,宝马3系,2004款,325i,18万公里,2004-06,宁波,1年黄金会员,2.0,44.29万,0次过户
418,宝马X1,2013款,xDrive20i,10万公里,2013-11,温州,3年黄金会员,8.0,44.29万,0次过户
419,宝马3系,2010款,325i,9万公里,2010-10,宁波,1年黄金会员,4.5,44.29万,0次过户
